rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
1493,15744517,Esposito,735,Spain,Male,50,9,0,1,f,f,166677.35,t
1494,15686963,Hardiman,680,Spain,Female,30,3,0,1,t,f,160131.58,f
1495,15808189,Woodard,449,France,Male,52,6,0,2,f,t,123622,f
1496,15580845,Chienezie,685,Germany,Male,57,7,101868.51,1,f,t,113483.96,f
1497,15799156,Okwuadigbo,569,Spain,Male,38,8,0,2,f,f,79618.79,f
1498,15694296,Chineze,631,France,Male,35,9,112392.45,2,t,f,24472.23,f
1499,15677049,O'Brien,595,Germany,Female,25,7,106570.34,2,f,t,177025.79,f
1500,15583595,Tao,461,France,Female,28,8,0,1,t,t,103349.74,f
1501,15590146,Mao,630,France,Male,50,1,81947.76,1,f,t,63606.22,t
1502,15801548,Buckland,661,France,Female,31,7,144162.3,2,t,t,14490.79,f
1503,15660833,Flannery,796,Germany,Male,39,5,86350.87,2,f,f,105080.53,f
1504,15762277,Jamieson,710,France,Male,47,5,158623.14,1,f,f,83499.89,t
1505,15791302,Swift,741,France,Male,32,8,0,2,t,f,143598.7,f
1506,15798975,Doherty,606,Germany,Male,48,4,132403.56,1,f,f,36091.91,t
1507,15599956,Payne,747,France,Male,27,10,0,2,f,f,13007.89,f
1508,15577274,Genovese,549,Germany,Female,43,3,134985.66,1,t,f,6101.41,f
1509,15701200,Lucciano,576,France,Male,36,6,0,2,t,t,48314,f
1510,15638149,Rowley,528,France,Male,37,6,103772.45,1,t,f,197111.99,f
1511,15786199,Hsing,535,France,Male,33,2,133040.32,1,t,t,110299.78,f
1512,15701765,Vincent,575,Spain,Female,37,0,0,2,f,f,30114.32,f
1513,15586974,Pearce,656,France,Male,39,10,0,2,t,t,98894.64,f
1514,15729040,Lamb,440,France,Male,42,2,0,2,t,f,49826.68,f
1515,15788676,Riley,539,Spain,Male,38,8,71460.67,2,t,t,10074.05,f
1516,15602497,Honore,850,Spain,Male,39,6,133214.13,1,f,t,20769.88,f
1517,15701333,Blackburn,646,France,Female,37,7,96558.66,1,f,f,163427.18,f
1518,15812071,Endrizzi,744,France,Male,54,6,93806.31,2,f,t,140068.77,f
1519,15634375,Duncan,710,Spain,Female,36,8,0,2,f,f,83206.19,f
1520,15738267,Macarthur,544,France,Female,64,3,124043.8,1,t,t,111402.97,t
1521,15786800,Gould,723,Germany,Male,52,5,131694.97,1,f,t,92873.5,t
1522,15591130,Medvedev,507,Spain,Female,29,6,0,2,f,t,94780.9,f
1523,15720662,Sholes,787,France,Female,35,1,106266.8,1,t,t,16607.15,f
1524,15751531,Shaw,598,Spain,Male,41,8,0,2,t,t,161954.43,f
1525,15653595,Ts'ai,796,France,Male,51,6,0,2,f,t,194733.28,f
1526,15568360,Rolon,569,Spain,Female,41,4,139840.36,1,t,t,163524.7,f
1527,15781210,Reid,711,France,Male,34,8,0,2,f,f,48260.19,f
1528,15668058,Chinwendu,661,Germany,Male,35,8,124098.54,1,t,f,86678.48,f
1529,15597131,Fu,415,France,Male,32,5,145807.59,1,t,t,3064.65,f
1530,15697283,Mackenzie,578,Spain,Male,23,8,0,2,t,f,112124.98,f
1531,15640953,Bligh,611,France,Female,26,2,107508.93,2,t,t,120801.65,f
1532,15715031,Davidson,600,France,Female,28,6,0,2,f,t,52193.23,f
1533,15589660,Lamble,661,Germany,Female,32,1,145980.23,1,f,t,56636.28,f
1534,15769818,Moore,850,France,Female,37,3,212778.2,1,f,t,69372.88,f
1535,15782736,Jose,573,Germany,Female,47,4,152522.47,1,f,t,164038.07,t
1536,15614818,Trevisani,764,Spain,Female,33,9,168964.77,1,f,t,118982.51,f
1537,15794014,Schofield,838,France,Female,34,8,0,2,t,f,27472.07,f
1538,15732448,Stewart,821,France,Female,28,8,0,1,t,t,36754.13,f
1539,15723411,Jamieson,607,Spain,Female,36,4,98266.3,1,t,t,46416.36,f
1540,15797686,Howard,558,France,Male,38,8,113000.92,1,t,t,152872.39,f
1541,15605950,Onwuamaeze,530,Germany,Male,23,1,137060.88,2,t,t,165227.23,f
1542,15812497,D'Albertis,654,Germany,Male,37,5,112146.12,1,t,f,75927.35,f
1543,15690678,Brooks,530,France,Female,33,4,129307.32,1,t,t,172930.28,f
1544,15747677,Gordon,656,Spain,Male,69,6,163975.09,1,t,t,36108.5,f
1545,15618926,Nwachukwu,520,Spain,Male,43,7,0,2,t,t,36202.74,f
1546,15673908,Chinweike,602,Germany,Female,42,6,158414.85,1,t,t,131886.46,f
1547,15727944,Simpkinson,701,Germany,Female,48,1,92072.68,1,t,t,133992.36,f
1548,15807294,Walker,653,Spain,Female,30,2,88243.29,2,t,t,96658.26,f
1549,15618581,Diribe,668,Spain,Male,25,8,0,2,t,t,135112.09,f
1550,15584364,Trentini,652,France,Male,48,4,59486.31,1,t,f,163944.18,t
1551,15599552,Conway,639,Spain,Female,54,2,0,2,t,t,53843.71,f
1552,15749177,Maslow,730,Spain,Female,52,7,0,2,f,t,122398.84,f
1553,15718779,Clark,780,France,Male,34,1,0,1,t,t,64804.04,f
1554,15568106,L?,592,France,Female,38,8,119278.01,2,f,t,19370.73,f
1555,15779481,Swadling,628,France,Male,34,4,158741.43,2,t,t,126192.54,f
1556,15709994,Gallo,658,France,Female,40,7,140596.95,1,f,t,135459.02,t
1557,15772777,Onyemachukwu,850,Spain,Female,29,10,0,2,t,t,94815.04,f
1558,15706815,Samoylova,515,Germany,Male,37,2,90432.92,1,t,t,188366.04,t
1559,15618018,Dickson,571,France,Female,35,1,104783.81,2,f,t,178512.52,f
1560,15671032,He,760,Germany,Male,42,0,77992.97,2,t,t,97906.38,f
1561,15634281,P'an,720,Germany,Female,43,10,110822.9,1,f,f,72861.94,f
1562,15766374,Leak,632,Germany,Male,42,4,119624.6,2,t,t,195978.86,f
1563,15600991,Artemieva,694,Germany,Male,31,6,109052.59,2,t,t,19448.93,t
1564,15777576,Frost,559,Spain,Female,40,5,139129.44,1,f,t,32635.54,f
1565,15742613,Warner,773,Germany,Female,42,8,152324.66,2,t,f,171733.22,f
1566,15649523,Kennedy,581,France,Male,38,1,0,2,t,f,46176.22,f
1567,15651063,Ifeatu,524,Germany,Female,37,9,127480.58,2,t,f,179634.69,f
1568,15683124,Evans,713,France,Male,53,6,115029.4,1,f,f,191521.32,t
1569,15618314,Chu,676,France,Male,40,8,114005.78,1,t,t,67998.45,f
1570,15670823,Hsueh,651,Germany,Female,42,1,116646.76,1,t,f,44731.8,t
1571,15607133,Shih,717,Spain,Female,49,1,110864.38,2,t,t,124532.9,t
1572,15615012,Fan,594,France,Male,23,5,156267.59,1,t,f,160968.44,f
1573,15725141,Whiddon,716,France,Female,44,3,109528.28,1,t,f,27341.63,t
1574,15623560,Onyekachukwu,668,France,Female,35,6,102482.76,1,t,t,53994.64,f
1575,15693018,Ermakova,678,Germany,Male,23,10,115563.71,1,t,t,91633.53,f
1576,15636756,Marino,545,France,Male,23,2,0,2,t,f,189613.12,f
1577,15647474,Niu,613,France,Female,40,9,95624.36,2,t,t,60706.33,f
1578,15576714,Manna,687,Spain,Female,21,8,0,2,t,t,154767.34,f
1579,15585047,Onyemere,715,France,Male,28,7,160376.61,1,f,f,196853.11,f
1580,15743976,Archer,618,Germany,Male,41,8,37702.79,1,t,t,195775.48,f
1581,15793881,Mitchell,721,France,Female,35,6,118273.83,1,f,t,3086.89,f
1582,15576517,Everingham,445,Germany,Female,34,7,131082.17,2,t,t,70618,f
1583,15631072,Huie,690,France,Male,38,1,94456,2,f,t,55034.02,f
1584,15730394,Crowther,709,France,Female,43,8,0,2,f,f,168035.62,t
1585,15631460,Swift,671,Spain,Female,42,3,0,2,t,t,128449.33,f
1586,15692002,Skelton,538,France,Male,33,6,93791.38,1,t,t,199249.29,f
1587,15595282,White,735,France,Female,33,4,0,2,t,f,149474.69,f
1588,15789548,Giordano,592,France,Female,37,7,0,2,t,t,126726.33,f
1589,15758035,Bateson,747,France,Male,61,7,155973.13,1,f,t,147554.26,f
1590,15617518,Hu,675,Germany,Male,36,7,89409.95,1,t,t,149399.7,f
1591,15651802,Day,632,Spain,Female,39,5,97854.37,2,t,f,93536.38,f
1592,15631813,Beneventi,621,France,Male,39,6,0,2,t,t,58883.91,f
1593,15729668,Elizabeth,521,Spain,Male,29,3,60280.62,1,t,f,154271.41,f
1594,15741728,Atkins,591,Spain,Male,36,7,135216.8,1,t,t,122022.89,f
1595,15576676,Serrano,706,Germany,Female,28,6,124923.35,2,t,t,50299.14,f
1596,15711378,Willis,677,France,Male,38,4,0,2,t,f,187800.63,f
1597,15765520,Stevenson,769,Germany,Male,27,7,188614.07,1,t,f,171344.09,f
1598,15656726,Ch'ien,771,France,Male,32,5,62321.62,1,t,t,40920.59,f
1599,15647842,Cunningham,601,Germany,Female,48,8,120782.7,1,t,f,63940.68,t
1600,15719309,Stephens,670,France,Female,42,1,115961.58,2,f,t,29483.87,f
1601,15748718,Gordon,517,France,Male,28,2,115062.61,1,t,f,179056.23,f
1602,15594404,Bevan,834,France,Female,49,8,160602.25,2,t,f,129273.94,f
1603,15751158,Mashman,571,France,Female,42,4,108825.34,3,t,f,55558.51,t
1604,15593470,Tu,576,Germany,Female,36,8,166287.85,1,t,t,23305.85,f
1605,15695129,Milanesi,718,France,Female,31,1,152663.77,1,f,t,17128.64,f
1606,15640865,Romano,636,Germany,Female,31,9,80844.69,2,t,t,74641.9,f
1607,15714080,Goliwe,566,Germany,Female,40,2,97001.36,2,t,f,154486.01,f
1608,15648721,Hsueh,711,France,Male,64,4,0,2,t,t,3185.67,f
1609,15801466,Gray,574,France,Female,39,2,122524.61,2,t,f,88463.63,f
1610,15750248,Wright,619,France,Female,35,8,132292.63,1,t,f,65682.93,f
1611,15758726,Chiemeka,588,France,Female,24,0,0,2,t,t,140586.08,f
1612,15781553,Chung,760,Germany,Female,49,9,91502.99,1,t,f,117232.9,t
1613,15649121,Pinto,665,France,Male,52,3,0,1,t,f,116137.01,t
1614,15674811,Kellway,739,Germany,Male,29,3,59385.98,2,t,t,105533.96,f
1615,15646037,Sopuluchi,641,France,Male,77,9,0,3,t,t,81514.06,f
1616,15722578,Spitzer,685,Germany,Female,21,6,97956.5,1,t,t,164966.27,f
1617,15665695,Potter,594,France,Female,49,4,0,2,t,t,23631.55,f
1618,15801062,Matthews,557,Spain,Female,40,4,0,2,f,t,105433.53,f
1619,15662955,Nicholls,697,France,Male,27,8,141223.68,2,t,f,90591.15,f
1620,15770309,McDonald,656,France,Male,18,10,151762.74,1,f,t,127014.32,f
1621,15620758,Fiorentini,712,Germany,Male,43,1,141749.74,2,f,t,90905.26,f
1622,15777797,Kovalyova,689,Spain,Male,38,5,75075.14,1,t,t,8651.92,t
1623,15783955,Miah,697,France,Female,25,4,165686.11,2,t,f,15467.98,f
1624,15804516,Builder,589,France,Male,38,2,0,1,t,f,79915.28,f
1625,15681758,Baddeley,525,Spain,Female,25,10,0,2,t,f,69361.95,f
1626,15630321,Hu,680,France,Male,44,3,0,2,t,f,86935.08,f
1627,15588248,Hs?,617,France,Female,28,0,0,2,t,t,7597.83,t
1628,15591932,Ford,680,France,Male,32,5,92961.61,1,t,f,116957.6,f
1629,15810347,Todd,662,Spain,Female,30,9,0,2,f,t,157884.83,f
1630,15595303,Johnston,736,Germany,Male,46,5,130812.91,1,t,t,77981.54,t
1631,15634950,Obiajulu,657,Germany,Male,57,8,107174.58,1,t,t,126369.55,t
1632,15685372,Azubuike,350,Spain,Male,54,1,152677.48,1,t,t,191973.49,t
1633,15745827,Padovesi,617,France,Male,30,3,132005.77,1,t,f,142940.39,f
1634,15755868,Farmer,562,France,Male,35,7,0,1,f,f,48869.67,f
1635,15735222,Ignatieff,705,Spain,Female,23,5,0,2,t,t,73131.73,f
1636,15604804,Lu,516,France,Female,33,7,127305.5,1,t,t,120037.36,f
1637,15718944,Artemiev,573,France,Female,37,6,0,2,t,f,193995.37,f
1638,15678626,Okonkwo,538,Spain,Female,31,0,0,2,f,f,179453.66,f
1639,15571550,Dore,699,France,Male,39,9,0,1,t,f,80963.92,f
1640,15723053,T'ang,504,Germany,Male,32,8,170291.22,2,f,t,15658.99,f
1641,15661528,Ashbolt,583,Spain,Male,47,5,102562.23,1,t,f,92708.1,f
1642,15754177,Bazarova,712,Spain,Male,53,2,111061.01,2,f,f,26542.17,f
1643,15683544,Buccho,626,Spain,Male,62,3,0,1,t,t,65010.74,f
1644,15708048,Burn,631,France,Female,34,4,124379.14,1,t,f,106892.91,f
1645,15701109,Andreyev,663,France,Female,37,7,0,1,t,t,185210.63,f
1646,15600110,Endrizzi,506,Germany,Female,41,3,57745.76,1,t,f,4035.46,f
1647,15651533,Brown,570,Germany,Female,50,5,129293.74,1,t,f,177805.44,t
1648,15777904,Nock,703,France,Female,45,7,0,2,t,t,68831.72,f
1649,15655574,Okeke,698,Germany,Female,40,8,150777.1,1,t,f,114732.62,f
1650,15569423,Cunningham,731,Spain,Male,41,4,0,2,t,f,22299.27,f
1651,15718106,Kelley,625,France,Male,34,6,0,2,f,f,197283.2,f
1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,t,t,179485.96,t
1653,15675501,Woods,616,France,Male,59,5,153861.1,1,t,t,17699.48,f
1654,15633233,McFarland,500,France,Male,56,1,100374.58,1,t,f,118490.8,t
1655,15667134,Cisneros,446,France,Male,32,8,0,2,f,f,133292.94,f
1656,15659105,Borchgrevink,669,France,Female,47,9,61196.54,1,t,f,58170.24,f
1657,15575409,Rozhkova,581,Germany,Male,31,6,116891.72,1,t,f,107137.3,f
1658,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,t,f,145071.33,t
1659,15654851,Obialo,748,France,Male,44,2,92911.52,1,f,t,85495.24,f
1660,15741429,Hudson,680,Spain,Female,31,9,119825.75,2,t,t,101139.3,f
1661,15682356,Veltri,655,France,Female,37,7,111852.84,2,t,f,10511.13,f
1662,15806447,Mazzanti,690,Germany,Male,32,0,106683.52,2,t,t,137916.49,f
1663,15800229,Thorpe,695,Germany,Male,40,7,139022.24,1,f,t,193383.13,f
1664,15663441,Golibe,700,Germany,Female,40,4,148571.07,1,t,f,189826.96,t
1665,15791991,Udinesi,773,France,Male,52,4,0,1,f,t,144113.42,f
1666,15775082,Stewart,749,France,Male,42,1,129776.72,2,f,t,143538.51,f
1667,15579706,Curtis,611,France,Female,46,5,0,1,t,f,77677.14,t
1668,15718247,Hayden,606,Spain,Female,46,8,0,2,t,t,183717.94,f
1669,15755722,H?,554,France,Male,24,10,0,1,f,f,92180.62,f
1670,15582259,Campbell,567,France,Female,37,7,0,2,t,t,28690.9,f
1671,15716994,Green,559,Spain,Male,24,3,114739.92,1,t,f,85891.02,t
1672,15586880,P'eng,594,Germany,Male,41,2,122545.65,2,t,t,42050.24,f
1673,15713854,Cremonesi,513,France,Female,37,6,0,2,t,f,110142.34,f
1674,15780835,Liang,652,Germany,Female,26,1,131908.35,1,t,t,179269.79,f
1675,15675896,Gough,680,Germany,Female,42,7,105722.69,1,t,t,90558.24,t
1676,15658459,Bates,784,Spain,Male,33,10,0,2,t,f,162022.47,f
1677,15658057,Padovesi,812,Spain,Female,44,8,0,3,t,f,66926.83,t
1678,15801767,Yin,784,Spain,Female,40,8,0,2,t,f,108891.3,f
1679,15569178,Kharlamov,570,France,Female,18,4,82767.42,1,t,f,71811.9,f
1680,15731478,Nicholls,712,France,Female,42,1,87842.98,1,f,f,92223.59,f
1681,15811236,Burns,705,Spain,Male,39,6,133261.13,1,t,t,78065.9,f
1682,15746749,Fleming,681,Spain,Female,32,3,0,2,t,t,59679.9,f
1683,15662758,Watson,620,France,Male,41,0,97925.11,1,t,f,85000.32,f
1684,15709387,Obiajulu,711,France,Male,52,5,0,1,t,t,159808.95,f
1685,15572093,Han,613,France,Female,24,7,140453.91,1,t,f,129001.3,f
1686,15713826,Ferguson,613,Germany,Female,20,0,117356.19,1,f,f,113557.7,t
1687,15570205,Tao,682,Spain,Male,36,5,0,2,t,t,147758.51,f
1688,15589348,Le Grand,850,Spain,Male,37,4,137204.77,1,t,t,28865.59,f
1689,15804610,Valdez,601,France,Female,41,1,0,2,f,t,160607.06,f
1690,15700854,Cunningham,595,Spain,Male,35,8,0,1,t,f,100015.79,t
1691,15758836,Godfrey,675,Spain,Male,36,3,54098.18,2,f,t,54478.52,f
1692,15772933,Mai,591,Spain,Male,31,8,0,1,t,t,141677.33,f
1693,15809006,Walker,602,France,Male,23,7,113758.48,2,f,f,84077.6,f
1694,15689612,Pirozzi,554,Spain,Female,34,8,0,1,f,t,106981.03,f
1695,15744614,Feng,541,France,Male,37,9,118636.92,1,t,t,73551.44,f
1696,15704250,Akabueze,506,France,Male,34,7,0,2,f,f,115842.1,f
1697,15700255,Robson,814,Germany,Male,44,8,95488.82,2,f,f,107013.59,f
1698,15669410,Yevdokimova,683,France,Male,30,8,110829.52,2,f,f,24938.84,f
1699,15807595,Ijendu,485,Germany,Male,51,7,144244.59,2,t,f,51113.14,f
1700,15664523,Colombo,696,Germany,Female,31,8,122021.92,2,t,f,33828.64,f
1701,15642833,Akubundu,608,France,Female,30,8,0,2,t,f,128875.86,f
1702,15605279,Francis,792,France,Male,50,9,0,4,t,t,194700.81,t
1703,15713644,Marshall,686,Spain,Male,22,5,0,2,t,f,158974.45,f
1704,15750466,Rhodes,790,Germany,Male,42,1,85839.62,1,t,f,198182.73,f
1705,15739054,Y?,654,France,Female,29,4,96974.97,1,f,t,141404.07,f
1706,15612771,Bell,452,France,Male,35,4,148172.44,1,t,t,4175.68,f
1707,15788483,Kerr,719,Spain,Male,38,0,0,1,t,f,126876.47,f
1708,15732832,Jideofor,707,France,Female,40,5,0,2,t,f,41052.82,f
1709,15772892,Robertson,699,France,Female,49,2,0,1,f,f,105760.01,f
1710,15713843,Kao,850,Spain,Male,30,2,0,2,f,t,27937.12,f
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,t,f,79355.87,f
1712,15617603,Mackay,850,Germany,Male,30,5,123210.56,2,t,t,102180.27,f
1713,15744983,Burgmann,712,Spain,Male,47,1,139887.01,1,t,t,95719.73,f
1714,15630419,Davis,634,France,Male,44,9,149961.11,1,t,f,57121.51,f
1715,15738828,Milano,730,Germany,Male,45,6,152880.97,1,f,f,162478.11,f
1716,15778025,Dellucci,685,Germany,Male,43,9,108589.47,2,f,t,194808.51,f
1717,15799479,Coles,809,Spain,Male,33,9,0,1,t,t,124045.65,f
1718,15684269,Gray,707,Spain,Female,35,3,56674.48,1,t,f,17987.4,t
1719,15762745,Macvitie,648,Spain,Male,32,8,0,1,t,f,133653.38,f
1720,15746970,Townsend,760,Spain,Female,57,1,0,2,t,t,25101.17,f
1721,15725024,Pope,805,Germany,Female,33,3,105663.56,2,f,t,33330.89,f
1722,15592116,Jensen,585,France,Female,39,7,0,2,t,f,2401.26,f
1723,15624391,Thomson,595,Spain,Female,30,5,100683.54,1,t,t,178361.04,f
1724,15567422,Chiazagomekpele,630,France,Male,42,6,0,2,t,f,162697.93,f
1725,15612627,Ozuluonye,627,Germany,Male,29,5,139541.58,2,t,f,80607.33,f
1726,15574879,Wright,631,Germany,Female,37,2,121801.72,2,f,t,23146.62,f
1727,15745107,Lung,776,Germany,Male,38,5,112281.7,1,f,t,89893.6,f
1728,15734491,Lombardo,676,Spain,Female,36,4,0,2,t,t,3173.31,f
1729,15675320,Leonard,758,Spain,Female,40,5,93499.82,2,f,f,123218.81,f
1730,15643824,Johnston,637,France,Male,33,0,132255.99,2,f,t,74588.41,f
1731,15643438,P'eng,850,France,Male,20,7,0,2,t,f,31288.77,f
1732,15721730,Amechi,601,Spain,Female,44,4,0,2,t,f,58561.31,f
1733,15680727,Fang,735,France,Male,49,5,121973.28,1,t,f,148804.36,f
1734,15752508,Docherty,614,Germany,Male,32,7,99462.8,2,t,t,51117.06,f
1735,15808846,Horton,672,Germany,Female,21,3,165878.76,2,t,t,164537.17,f
1736,15727251,Vincent,642,France,Male,30,8,117494.27,1,f,f,61977.82,f
1737,15663489,Onio,633,Germany,Female,29,0,138577.34,1,t,f,193362.99,f
1738,15683677,Schiavone,769,Spain,Male,39,9,0,1,t,t,47722.79,f
1739,15596414,Chandler,796,Spain,Male,41,8,107525.07,1,t,f,18510.41,f
1740,15730639,Fiorentino,715,France,Male,23,7,139224.92,2,t,f,65057.71,f
1741,15672132,Butusov,695,France,Female,42,7,121453.63,1,f,f,46374.64,f
1742,15742638,Wang,747,France,Female,25,4,0,2,f,t,42039.67,f
1743,15578603,Alexeieva,584,Germany,Female,54,1,77354.37,1,f,f,138192.98,t
1744,15726088,Vinogradova,476,France,Male,40,6,0,1,t,t,22735.45,f
1745,15682533,Hughes,850,France,Female,39,7,79259.99,1,f,t,186910.74,f
1746,15772995,Ts'ao,529,France,Male,30,2,116295.29,1,t,f,75285.47,f
1747,15765694,Bage,584,Spain,Female,59,1,0,1,f,t,130260.11,t
1748,15659486,Yudina,586,Germany,Male,34,9,74309.81,1,t,f,15034.93,f
1749,15568963,Naquin,674,Germany,Male,34,2,152797.9,1,t,f,175709.4,t
1750,15703820,Endrizzi,552,France,Male,42,9,133701.07,2,t,f,101069.71,t
1751,15569410,Tang,601,Germany,Female,33,7,114430.18,2,t,t,153012.13,f
1752,15632256,Schroeder,541,France,Male,29,7,127504.57,1,f,f,86173.92,f
1753,15724466,Swearingen,744,Germany,Female,41,2,84113.41,1,t,f,197548.63,f
1754,15777639,McGregor,595,Spain,Female,23,10,101126.66,2,f,f,37042.8,f
1755,15802501,Onyeorulu,724,Germany,Male,33,5,103564.83,2,t,f,121085.72,f
1756,15778410,Clarke,533,Spain,Female,52,7,0,1,f,t,194113.99,t
1757,15670702,Smith,618,France,Male,37,2,168178.21,2,f,t,101273.23,f
1758,15704763,Kozlova,523,Germany,Female,39,1,143903.11,1,t,t,118711.75,t
1759,15645544,Nekrasov,642,Germany,Female,30,5,129753.69,1,t,f,582.53,f
1760,15757646,Olague,584,France,Male,35,9,0,2,t,f,192381.21,f
1761,15701121,Holt,521,France,Male,38,5,110641.18,1,f,t,136507.69,t
1762,15796313,Olsen,662,France,Female,36,4,166909.2,2,t,f,138871.12,t
1763,15815660,Mazzi,758,France,Female,34,1,154139.45,1,t,t,60728.89,f
1764,15602844,Niu,717,France,Male,38,7,97459.06,1,f,f,189175.71,f
1765,15636238,Graham,611,France,Male,40,1,0,2,t,t,102547.56,f
1766,15770101,Millar,766,Germany,Male,43,6,112088.04,2,t,t,36706.56,f
1767,15645543,Bell,636,France,Female,34,3,0,2,t,t,44756.25,f
1768,15596397,Kelly,814,France,Female,48,7,0,2,t,t,132870.15,f
1769,15770525,T'an,760,Spain,Male,28,1,141038.57,2,f,f,16287.38,f
1770,15684267,Davila,607,Germany,Male,39,2,84468.67,2,t,t,121945.42,f
1771,15689980,Willis,725,Spain,Female,36,4,118520.26,1,f,f,131173.9,t
1772,15633260,Dumetochukwu,600,France,Male,37,1,142663.46,1,f,t,88669.89,f
1773,15756471,Giles,656,Germany,Male,27,4,118627.16,2,t,t,160835.3,f
1774,15721303,O'Meara,640,Spain,Male,34,1,137523.02,1,f,f,24761.36,f
1775,15802256,Yao,439,France,Male,28,7,110976.23,2,t,f,138526.96,f
1776,15725664,Wallace,549,France,Female,38,8,107283.4,1,f,f,157442.75,f
1777,15674851,T'ien,622,France,Male,38,5,0,2,f,f,105295.77,f
1778,15701946,Ndubueze,715,France,Male,34,4,124314.45,1,f,f,97782.92,f
1779,15748947,Chukwuraenye,657,France,Female,41,5,95858.37,1,t,t,68255.88,f
1780,15673342,K'ung,703,France,Male,36,2,0,2,t,f,108790.95,f
1781,15601008,Stevenson,802,France,Male,33,8,0,2,t,f,143706.18,f
1782,15771636,Marshall,793,Spain,Female,36,0,0,1,f,f,148993.47,f
1783,15642002,Hayward,554,France,Female,35,6,117707.18,2,f,f,95277.15,t
1784,15693381,Tipton,533,Spain,Male,38,1,135289.33,2,f,t,152956.33,f
1785,15607691,Gibson,658,France,Male,36,8,174060.46,1,t,t,94925.62,f
1786,15589380,Fraser,713,Germany,Male,40,3,114446.84,2,t,t,87308.18,f
1787,15603846,Fang,711,Spain,Male,37,2,0,2,t,f,83978.86,t
1788,15753549,Dubinina,669,France,Male,25,1,157848.53,1,f,f,37543.93,t
1789,15725355,Morey,439,France,Female,43,8,0,1,f,t,104889.3,f
1790,15773017,Todd,763,Spain,Female,37,6,0,2,t,t,149705.25,f
1791,15625641,Forbes,697,Germany,Female,74,3,108071.36,2,t,t,16445.79,f
1792,15776467,De Salis,702,Spain,Female,35,8,14262.8,2,t,f,54689.16,f
1793,15746451,Barry,686,Spain,Male,41,7,102749.72,1,f,t,194913.86,f
1794,15777922,Afamefuna,629,Spain,Male,36,1,161757.87,2,t,t,146371.72,f
1795,15606841,Ibbott,823,France,Male,38,1,0,2,t,f,156603.7,f
1796,15757648,Marshall,683,Germany,Female,35,5,95698.79,1,f,t,182566.76,f
1797,15677173,Law,555,France,Male,37,9,124969.13,1,t,f,60194.05,f
1798,15764170,Pinto,647,Germany,Male,44,4,93960.35,1,t,f,36579.53,t
1799,15610446,Chinedum,714,France,Female,51,4,88308.87,3,f,f,5862.53,t
1800,15612776,McKay,850,Spain,Female,39,10,0,2,t,t,143030.09,f
1801,15794122,Otutodilinna,713,France,Female,59,3,0,2,t,t,62700.08,f
1802,15774931,She,452,France,Male,30,7,112935.87,1,t,t,99017.34,f
1803,15779247,Pai,683,Spain,,24,8,98567.1,1,t,f,187987.01,f
1804,15707078,Kruglov,577,France,Female,26,1,180530.51,1,f,f,123454.62,f
1805,15605263,Chin,552,France,Male,33,5,140931.57,1,f,t,10921.5,f
1806,15607381,King,769,Germany,Female,31,7,148913.72,2,t,f,53817.23,f
1807,15683471,Hansen,691,France,Male,38,7,0,2,f,f,81617.4,f
1808,15605037,Ting,818,France,Female,49,2,0,1,f,t,192298.84,t
1809,15576085,Stone,739,France,Male,41,5,0,2,f,f,143882.25,f
1810,15770435,McLean,639,France,Female,50,6,115335.32,2,t,t,53130.41,f
1811,15592994,Zikoranachidimma,651,France,Female,65,0,0,2,t,t,190454.04,f
1812,15624068,Fu,779,France,Female,26,0,0,2,f,t,111906,f
1813,15595221,Trevisano,850,Germany,Female,33,7,134678.13,1,t,f,113177.95,f
1814,15637131,Fallaci,829,France,Male,38,9,0,2,t,f,30529.88,f
1815,15613471,Wiley,579,Germany,Male,31,2,90547.48,2,t,t,18800.13,f
1816,15583499,Chiagoziem,510,France,Male,32,9,103324.78,1,t,t,46127.7,f
1817,15752816,Murray,531,France,Male,29,3,114590.58,1,f,f,75585.48,f
1818,15804075,Chuang,628,Germany,Female,36,3,91286.51,1,t,f,63085.94,f
1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,t,t,74415.2,f
1820,15712319,Chukwukere,714,Spain,Male,45,8,150900.29,2,f,t,139889.15,f
1821,15797389,Hsia,604,Spain,Male,23,9,124577.33,1,t,t,7267.25,f
1822,15621432,Lee,630,Spain,Male,35,1,0,2,f,f,186826.22,f
1823,15779390,Theus,850,Spain,Female,31,4,91292.7,1,t,t,162149.07,f
1824,15711219,Jennings,788,Germany,Female,57,8,93716.72,1,t,t,180150.49,t
1825,15770498,Parker,798,France,Female,37,4,111723.08,1,t,t,83478.12,f
1826,15678727,Tan,770,Germany,Male,45,4,110765.68,1,t,f,26163.74,t
1827,15573893,Barry,569,Germany,Male,25,9,173459.45,2,t,t,44381.06,f
1828,15740104,Tuan,425,Spain,Female,22,7,169649.73,2,f,t,136365,t
1829,15792649,Patterson,547,Spain,Female,31,9,0,2,f,f,99294.22,f
1830,15605275,Ofodile,725,Germany,Male,45,8,116917.07,1,f,f,173464.43,t
